Company,Symbol,Weight,Price
Capital One Financial Corporation,COF,0.109639,44.59
Sysco Corporation,SYY,0.109224,41.67
eBay Inc.,EBAY,0.107422,28.67
T. Rowe Price Group,TROW,0.106499,93.97
Motorola Solutions Inc.,MSI,0.10642,125.37
'O''Reilly Automotive Inc.',ORLY,0.106384,285.7
Verisk Analytics Inc,VRSK,0.105968,140.92
KLA Corporation,KLAC,0.105881,131.14
Public Service Enterprise Group Inc,PEG,0.10526,42.69
Agilent Technologies Inc.,A,0.103389,68.89
McKesson Corporation,MCK,0.101804,133.18
Willis Towers Watson Public Limited Company,WLTW,0.101667,156.48
Clorox Company,CLX,0.101635,175.21
Dow Inc.,DOW,0.101345,27.32
Amphenol Corporation Class A,APH,0.100928,69.74
FirstEnergy Corp.,FE,0.100923,38.87
American Water Works Company Inc.,AWK,0.100342,113.42
Equity Residential,EQR,0.100337,57.61
Monster Beverage Corporation,MNST,0.100301,53
TE Connectivity Ltd.,TEL,0.098887,59.18
Ball Corporation,BLL,0.098755,64.2
American International Group Inc.,AIG,0.098091,21.54
PACCAR Inc,PCAR,0.098072,59.77
ResMed Inc.,RMD,0.097896,142.33
Prudential Financial Inc.,PRU,0.097744,47.24
EOG Resources Inc.,EOG,0.097646,34.56
Yum! Brands Inc.,YUM,0.097369,67.37
Johnson Controls International plc,JCI,0.097182,25.06
Zimmer Biomet Holdings Inc.,ZBH,0.097148,89.65
Cummins Inc.,CMI,0.096876,129.5
IDEXX Laboratories Inc.,IDXX,0.096787,231.1
AvalonBay Communities Inc.,AVB,0.095647,137.16
Marriott International Inc. Class A,MAR,0.094783,68.75
AutoZone Inc.,AZO,0.094198,788.38
Paychex Inc.,PAYX,0.093358,60.26
ANSYS Inc.,ANSS,0.09297,212.76
Trane Technologies plc,TT,0.092876,80.31
Alexion Pharmaceuticals Inc.,ALXN,0.092729,89.38
Cerner Corporation,CERN,0.09239,60.45
Hershey Company,HSY,0.092061,131.35
PPG Industries Inc.,PPG,0.091993,80.39
Xilinx Inc.,XLNX,0.091963,76.52
Edison International,EIX,0.091506,51.17
Archer-Daniels-Midland Company,ADM,0.091489,33.88
IQVIA Holdings Inc,IQV,0.090892,100.21
State Street Corporation,STT,0.090519,50.4
Hilton Worldwide Holdings Inc,HLT,0.089973,63.02
Synopsys Inc.,SNPS,0.089363,125.55
Twitter Inc.,TWTR,0.088557,23.23
PPL Corporation,PPL,0.088444,22.85
Ford Motor Company,F,0.088224,4.41
Schlumberger NV,SLB,0.08727,12.59
Entergy Corporation,ETR,0.087143,85.87
Valero Energy Corporation,VLO,0.086985,40.87
VeriSign Inc.,VRSN,0.086855,174.84
Cadence Design Systems Inc.,CDNS,0.086504,64.82
Welltower Inc.,WELL,0.086406,40.63
DTE Energy Company,DTE,0.085284,87.52
Fastenal Company,FAST,0.083031,30.5
V.F. Corporation,VFC,0.082757,48.61
Ameren Corporation,AEE,0.082607,67.57
Corteva Inc,CTVA,0.081889,22.5
Rockwell Automation Inc.,ROK,0.081434,142.16
Dollar Tree Inc.,DLTR,0.08108,73.18
McCormick & Company Incorporated,MKC,0.08029,137.89
Realty Income Corporation,O,0.079802,46.5
Tyson Foods Inc. Class A,TSN,0.079539,55.47
Williams Companies Inc.,WMB,0.079451,13.32
Southwest Airlines Co.,LUV,0.078815,32.16
Simon Property Group Inc.,SPG,0.078598,47.14
Mettler-Toledo International Inc.,MTD,0.078429,650.15
Alexandria Real Estate Equities Inc.,ARE,0.078419,131.93
Chipotle Mexican Grill Inc.,CMG,0.077849,619.66
CMS Energy Corporation,CMS,0.077691,55.82
Parker-Hannifin Corporation,PH,0.077554,115.41
Delta Air Lines Inc.,DAL,0.077012,24.06
AMETEK Inc.,AME,0.076045,69.47
Citrix Systems Inc.,CTXS,0.075992,139.01
Fortive Corp.,FTV,0.075864,54.66
Microchip Technology Incorporated,MCHP,0.075711,62.47
FleetCor Technologies Inc.,FLT,0.074762,171.06
Northern Trust Corporation,NTRS,0.074677,72.86
TransDigm Group Incorporated,TDG,0.074144,271.18
Republic Services Inc.,RSG,0.074102,72.32
Corning Inc,GLW,0.073761,19.03
Church & Dwight Co. Inc.,CHD,0.073179,63.71
Keysight Technologies Inc,KEYS,0.072951,80.85
Marathon Petroleum Corporation,MPC,0.071673,20.78
Kraft Heinz Company,KHC,0.07144,23.66
Skyworks Solutions Inc.,SWKS,0.071113,82.05
Stanley Black & Decker Inc.,SWK,0.0704,91.52
Arthur J. Gallagher & Co.,AJG,0.070165,77.15
Kellogg Company,K,0.069602,61.08
Akamai Technologies Inc.,AKAM,0.069,91.76
Essex Property Trust Inc.,ESS,0.067168,199.65
Cintas Corporation,CTAS,0.067058,162.44
Las Vegas Sands Corp.,LVS,0.06699,40.51
Fortinet Inc.,FTNT,0.066959,99.99
Equifax Inc.,EFX,0.066956,113.68
Vulcan Materials Company,VMC,0.066525,106.97
Conagra Brands Inc.,CAG,0.066237,29.7
Cardinal Health Inc.,CAH,0.065922,47.91
Copart Inc.,CPRT,0.065495,64.59
Tiffany & Co.,TIF,0.064757,129.05
First Republic Bank,FRC,0.06456,81.71
M&T Bank Corporation,MTB,0.063734,95.58
Cooper Companies Inc.,COO,0.063031,272.15
Teleflex Incorporated,TFX,0.063003,280.49
CDW Corp.,CDW,0.062962,88.79
AmerisourceBergen Corporation,ABC,0.062092,85.91
Boston Properties Inc.,BXP,0.061865,84.72
Take-Two Interactive Software Inc.,TTWO,0.061842,116.14
Maxim Integrated Products Inc.,MXIM,0.061715,45.79
Amcor PLC,AMCR,0.061436,7.87
Ameriprise Financial Inc.,AMP,0.060671,94.1
Best Buy Co. Inc.,BBY,0.060605,53.6
Hormel Foods Corporation,HRL,0.06053,46.31
Incyte Corporation,INCY,0.060344,73.53
LyondellBasell Industries NV,LYB,0.059761,45.09
Kansas City Southern,KSU,0.059456,121.5
Hartford Financial Services Group Inc.,HIG,0.059189,33.53
CBRE Group Inc. Class A,CBRE,0.059162,35.82
Hewlett Packard Enterprise Co.,HPE,0.059137,9.58
Aptiv PLC,APTV,0.058842,46.2
J.M. Smucker Company,SJM,0.058636,109.92
Evergy Inc.,EVRG,0.058625,51.68
Weyerhaeuser Company,WY,0.058539,16.11
MarketAxess Holdings Inc.,MKTX,0.058419,331.43
Old Dominion Freight Line Inc.,ODFL,0.058415,122.65
Align Technology Inc.,ALGN,0.05823,157.55
Extra Space Storage Inc.,EXR,0.057882,94.3
Laboratory Corporation of America Holdings,LH,0.057585,116.58
International Paper Company,IP,0.05703,30.13
Leidos Holdings Inc.,LDOS,0.056932,87.01
Dover Corporation,DOV,0.056843,79.59
Western Digital Corporation,WDC,0.056839,38.4
Omnicom Group Inc,OMC,0.055681,51.66
Duke Realty Corporation,DRE,0.055616,30.71
STERIS Plc,STE,0.055455,137.79
Atmos Energy Corporation,ATO,0.055336,94.64
Jack Henry & Associates Inc.,JKHY,0.055164,147.29
Martin Marietta Materials Inc.,MLM,0.054945,186.1
Waters Corporation,WAT,0.054812,181.23
Healthpeak Properties Inc.,PEAK,0.05463,21.24
Mid-America Apartment Communities Inc.,MAA,0.054489,97.98
Xylem Inc.,XYL,0.054298,59.3
Pioneer Natural Resources Company,PXD,0.054252,67.37
Alliant Energy Corp,LNT,0.054174,44.74
Cincinnati Financial Corporation,CINF,0.053347,73.5
Expeditors International of Washington Inc.,EXPD,0.053292,65.49
D.R. Horton Inc.,DHI,0.053247,32.63
Seagate Technology PLC,STX,0.052675,47.81
Discover Financial Services,DFS,0.05221,31.39
Arista Networks Inc.,ANET,0.051414,192.75
Nasdaq Inc.,NDAQ,0.051347,92.14
W.W. Grainger Inc.,GWW,0.05125,236.3
Nucor Corporation,NUE,0.051157,35.65
International Flavors & Fragrances Inc.,IFF,0.05084,101.52
Broadridge Financial Solutions Inc.,BR,0.050546,91.01
Garmin Ltd.,GRMN,0.050515,71.45
Jacobs Engineering Group Inc.,J,0.050122,78.73
FMC Corporation,FMC,0.050011,77.46
Lennar Corporation Class A,LEN,0.049932,34.67
UDR Inc.,UDR,0.049911,32.96
Quest Diagnostics Incorporated,DGX,0.049748,78.58
NortonLifeLock Inc.,NLOK,0.049621,18.49
Fifth Third Bancorp,FITB,0.049242,13.45
Occidental Petroleum Corporation,OXY,0.048181,10.71
IDEX Corporation,IEX,0.04812,131.67
KeyCorp,KEY,0.047691,9.44
Brown-Forman Corporation Class B,BF.B,0.047116,53.54
Tractor Supply Company,TSCO,0.047041,83.86
Ulta Beauty Inc,ULTA,0.046931,160.97
Paycom Software Inc.,PAYC,0.046398,185.09
Cboe Global Markets Inc,CBOE,0.046327,88.34
Zebra Technologies Corporation Class A,ZBRA,0.046264,176.28
Ventas Inc.,VTR,0.046146,22.87
Masco Corporation,MAS,0.045847,33.2
Genuine Parts Company,GPC,0.045642,62.79
Freeport-McMoRan Inc.,FCX,0.045634,6.3
NetApp Inc.,NTAP,0.044462,39.96
Qorvo Inc.,QRVO,0.044214,74.18
Hologic Inc.,HOLX,0.043766,32.87
Varian Medical Systems Inc.,VAR,0.043501,94.45
NiSource Inc,NI,0.043127,22.95
Hasbro Inc.,HAS,0.042534,70.49
Synchrony Financial,SYF,0.04239,14.42
CenturyLink Inc.,CTL,0.042316,8.79
C.H. Robinson Worldwide Inc.,CHRW,0.042125,66.53
ONEOK Inc.,OKE,0.041834,19.24
AES Corporation,AES,0.041819,12.77
NVR Inc.,NVR,0.041713,2405
CarMax Inc.,KMX,0.041703,52.51
Loews Corporation,L,0.041577,32.61
Celanese Corporation,CE,0.041417,67.99
Gartner Inc.,IT,0.041244,93.36
Westinghouse Air Brake Technologies Corporation,WAB,0.040896,45.87
DENTSPLY SIRONA Inc.,XRAY,0.040599,37.36
Regions Financial Corporation,RF,0.040433,8.35
Hess Corporation,HES,0.040197,32.04
Allegion PLC,ALLE,0.040099,83.9
Avery Dennison Corporation,AVY,0.040006,96.12
Ingersoll Rand Inc.,IR,0.039908,23.88
Concho Resources Inc.,CXO,0.039905,41.57
Huntington Bancshares Incorporated,HBAN,0.039737,7.41
Pinnacle West Capital Corporation,PNW,0.039653,70.44
Lamb Weston Holdings Inc.,LW,0.038847,50.98
PerkinElmer Inc.,PKI,0.038744,70.77
Fox Corporation Class A,FOXA,0.038661,22.3
Citizens Financial Group Inc.,CFG,0.038216,17.26
Packaging Corporation of America,PKG,0.038131,83.69
Principal Financial Group Inc.,PFG,0.037762,27.31
Host Hotels & Resorts Inc.,HST,0.037587,10.26
